fiscal_period,format,revenue_usd_millions,source
FY2025 Q4,Digital software,1500,Niche Gamer (Sony FY2025 Q4 Financial Results)
FY2025 Q4,Physical software,109,Niche Gamer (Sony FY2025 Q4 Financial Results)
